user,data_point,mse
user6,1,0.03520538
user6,2,0.034097426
user6,3,0.0333591
user6,4,0.031973865
user6,5,0.033192597
user6,6,0.031899452
user6,7,0.051695228
user6,8,0.03065763
user6,9,0.034429234
user6,10,0.035889477
user6,11,0.039097235
user6,12,0.0351422
user6,13,0.03618807
user6,14,0.035656802
user6,15,0.034186773
user6,16,0.06317095
user6,17,0.050004475
user6,18,0.046713453
user6,19,0.030750973
user6,20,0.0382991
user6,21,0.03424666
user6,22,0.032546967
user6,23,0.03199734
user6,24,0.035932496
user6,25,0.036937494
user6,26,0.03616391
user6,27,0.03496216
user6,28,0.032158665
user6,29,0.03478959
user6,30,0.031797383
user6,31,0.14211701
user6,32,0.062854044
user6,33,0.03965574
user6,34,0.03427946
user6,35,0.03137848
user6,36,0.031074138
user6,37,0.03065874
user6,38,0.030655308
user6,39,0.030791689
user6,40,0.054185748
user6,41,0.04116935
user6,42,0.046437208
user6,43,0.031611793
user6,44,0.03465287
user6,45,0.0324818
user6,46,0.030670661
user6,47,0.034853842
user6,48,0.037088726
user6,49,0.039365776
user6,50,0.038966913
user6,51,0.036247585
user6,52,0.0366681
user6,53,0.0641084
user6,54,0.036227766
user6,55,0.031388845
user6,56,0.03236574
user6,57,0.030719198
user6,58,0.032601662
user6,59,0.03351497
user6,60,0.034410093
user6,61,0.03200889
user6,62,0.03089863
user6,63,0.030884903
user6,64,0.043166902
user6,65,0.0487503
user6,66,0.040342256
user6,67,0.04554149
user6,68,0.03739834
user6,69,0.03216683
user6,70,0.03067595
user6,71,0.034678165
user6,72,0.038667705
user6,73,0.039713986
user6,74,0.03979873
user6,75,0.038550336
user6,76,0.036146842
user6,77,0.033435218
user6,78,0.03071623
user6,79,0.050440338
user6,80,0.04200598
user6,81,0.030843168
user6,82,0.03305963
user6,83,0.036249306
user6,84,0.035216697
user6,85,0.03236596
user6,86,0.030986773
user6,87,0.031916533
user6,88,0.04887006
user6,89,0.054037478
user6,90,0.049562752
user6,91,0.033630475
user6,92,0.031318657
user6,93,0.03165028
user6,94,0.034318324
user6,95,0.03788543
user6,96,0.03979539
user6,97,0.04008529
user6,98,0.039240386
user6,99,0.038341966
user6,100,0.036706023
user6,101,0.03064974
user6,102,0.030703187
user6,103,0.042958472
user6,104,0.057365615
user6,105,0.03223254
user6,106,0.031323954
user6,107,0.030679615
user6,108,0.03202704
user6,109,0.03301343
user6,110,0.033746477
user6,111,0.033819355
user6,112,0.050161477
user6,113,0.05748684
user6,114,0.051714994
user6,115,0.035626225
user6,116,0.03388003
user6,117,0.033886097
user6,118,0.032778427
user6,119,0.03104391
user6,120,0.035887104
user6,121,0.036587317
user6,122,0.036058757
user6,123,0.03285128
user6,124,0.03318502
user6,125,0.03888188
user6,126,0.045260467
user6,127,0.053321864
user6,128,0.055971954
user6,129,0.085264005
user6,130,0.14265169
user6,131,0.038878456
user6,132,0.031429525
user6,133,0.031046983
user6,134,0.031891353
user6,135,0.031842884
user6,136,0.05546478
user6,137,0.044506505
user6,138,0.05242385
user6,139,0.047432534
user6,140,0.03445599
user6,141,0.03477471
user6,142,0.031459942
user6,143,0.03128866
user6,144,0.030682527
user6,145,0.032749455
user6,146,0.034114752
user6,147,0.034930784
user6,148,0.032515924
user6,149,0.033304818
user6,150,0.032243993
user6,151,0.04373302
user6,152,0.064872846
user6,153,0.03986848
user6,154,0.032078
user6,155,0.101269156
user6,156,0.15196826
user6,157,0.23181382
user6,158,0.031952247
user6,159,0.03139157
user6,160,0.033257447
user6,161,0.049306914
user6,162,0.056729343
user6,163,0.042724967
user6,164,0.031308785
user6,165,0.03310676
user6,166,0.03164868
user6,167,0.03196996
user6,168,0.037073962
user6,169,0.036942694
user6,170,0.037354026
user6,171,0.037199788
user6,172,0.034668252
user6,173,0.03071097
user6,174,0.030721577
user6,175,0.03130064
user6,176,0.030668736
user6,177,0.034716792
user6,178,0.040068425
user6,179,0.039484136
user6,180,0.03950779
user6,181,0.038069136
user6,182,0.036538534
user6,183,0.03506156
user6,184,0.035560586
user6,185,0.04173152
user6,186,0.043005463
user6,187,0.03493298
user6,188,0.031985834
user6,189,0.034503542
user6,190,0.032136597
user6,191,0.03437535
user6,192,0.035463236
user6,193,0.035922118
user6,194,0.035451658
user6,195,0.03464671
user6,196,0.030689418
user6,197,0.031065647
user6,198,0.030650804
user6,199,0.046205368
user6,200,0.061211105
user6,201,0.03074376
user6,202,0.035380933
user6,203,0.034681994
user6,204,0.035423364
user6,205,0.035321224
user6,206,0.032868974
user6,207,0.03235791
user6,208,0.05595925
