user,data_point,mse,time_hour
user6,186,0.043005463,17:00
user6,187,0.03493298,18:00
user6,188,0.031985834,19:00
user6,189,0.034503542,20:00
user6,190,0.032136597,21:00
user6,191,0.03437535,22:00
user6,192,0.035463236,23:00
user6,193,0.035922118,00:00
user6,194,0.035451658,01:00
user6,195,0.03464671,02:00
user6,196,0.030689418,03:00
user6,197,0.031065647,04:00
user6,198,0.030650804,05:00
user6,199,0.046205368,06:00
user6,200,0.061211105,07:00
user6,201,0.03074376,08:00
user6,202,0.035380933,09:00
user6,203,0.034681994,10:00
user6,204,0.035423364,11:00
user6,205,0.035321224,12:00
user6,206,0.032868974,13:00
user6,207,0.03235791,14:00
user6,208,0.05595925,15:00
user6,209,0.04882508,16:00
user6,210,0.042245694,17:00
user6,211,0.052566733,18:00
user6,212,0.049114205,19:00
user6,213,0.0415086,20:00
user6,214,0.030703915,21:00
user6,215,0.033853434,22:00
user6,216,0.03540062,23:00
user6,217,0.03628023,00:00
user6,218,0.035998274,01:00
user6,219,0.03438651,02:00
user6,220,0.033361223,03:00
user6,221,0.031364005,04:00
user6,222,0.03120345,05:00
user6,223,0.032534804,06:00
user6,224,0.031403977,07:00
user6,225,0.03405834,08:00
user6,226,0.031922378,09:00
user6,227,0.04061977,10:00
user6,228,0.031025218,11:00
user6,229,0.03238125,12:00
user6,230,0.034067616,13:00
user6,231,0.032830473,14:00
user6,232,0.06432121,15:00
user6,233,0.04162641,16:00
user6,234,0.048289783,17:00
user6,235,0.03910236,18:00
user6,236,0.055731535,19:00
user6,237,0.03579625,20:00
user6,238,0.031173669,21:00
user6,239,0.032523666,22:00
user6,240,0.035135083,23:00
user6,241,0.034482785,00:00
user6,242,0.03474616,01:00
user6,243,0.03435866,02:00
user6,244,0.033449642,03:00
user6,245,0.033695016,04:00
user6,246,0.043814994,05:00
user6,247,0.053399146,06:00
user6,248,0.030690508,07:00
user6,249,0.03299925,08:00
user6,250,0.034929886,09:00
user6,251,0.03552888,10:00
user6,252,0.035124145,11:00
user6,253,0.035031565,12:00
user6,254,0.033863213,13:00
user6,255,0.03270345,14:00
user6,256,0.058613308,15:00
