user,data_point,mse,time_hour
user6,186,0.038879495,17:00
user6,187,0.030700289,18:00
user6,188,0.031051539,19:00
user6,189,0.033297654,20:00
user6,190,0.03504122,21:00
user6,191,0.036057595,22:00
user6,192,0.036614604,23:00
user6,193,0.036714833,00:00
user6,194,0.036283173,01:00
user6,195,0.03499138,02:00
user6,196,0.030751208,03:00
user6,197,0.034805372,04:00
user6,198,0.033231534,05:00
user6,199,0.030824134,06:00
user6,200,0.03142163,07:00
user6,201,0.03168018,08:00
user6,202,0.03166065,09:00
user6,203,0.031489607,10:00
user6,204,0.031033406,11:00
user6,205,0.03138466,12:00
user6,206,0.034252353,13:00
user6,207,0.038344983,14:00
user6,208,0.04194379,15:00
user6,209,0.04121184,16:00
user6,210,0.039164044,17:00
user6,211,0.031471226,18:00
user6,212,0.030765643,19:00
user6,213,0.032176875,20:00
user6,214,0.033681046,21:00
user6,215,0.034922685,22:00
user6,216,0.036164388,23:00
user6,217,0.037161063,00:00
user6,218,0.037540045,01:00
user6,219,0.037417237,02:00
user6,220,0.036150493,03:00
user6,221,0.03129325,04:00
user6,222,0.03155356,05:00
user6,223,0.0314387,06:00
user6,224,0.031693436,07:00
user6,225,0.030836659,08:00
user6,226,0.030868508,09:00
user6,227,0.030714195,10:00
user6,228,0.030702453,11:00
user6,229,0.030792845,12:00
user6,230,0.03347584,13:00
user6,231,0.03614638,14:00
user6,232,0.049786422,15:00
user6,233,0.047379415,16:00
user6,234,0.036020566,17:00
user6,235,0.035864092,18:00
user6,236,0.03132896,19:00
user6,237,0.032630954,20:00
user6,238,0.033972345,21:00
user6,239,0.035110034,22:00
user6,240,0.035742838,23:00
user6,241,0.036397267,00:00
user6,242,0.03677821,01:00
user6,243,0.03656284,02:00
user6,244,0.034892555,03:00
user6,245,0.039494358,04:00
user6,246,0.032761194,05:00
user6,247,0.03129469,06:00
user6,248,0.031485457,07:00
user6,249,0.03168462,08:00
user6,250,0.032261994,09:00
user6,251,0.032263927,10:00
user6,252,0.031777743,11:00
user6,253,0.030793933,12:00
user6,254,0.03139772,13:00
user6,255,0.035686895,14:00
user6,256,0.04093349,15:00
user6,257,0.04277396,16:00
user6,258,0.045841996,17:00
user6,259,0.031169923,18:00
user6,260,0.032426145,19:00
user6,261,0.034174733,20:00
user6,262,0.03554445,21:00
user6,263,0.036536872,22:00
user6,264,0.037429903,23:00
user6,265,0.03793711,00:00
user6,266,0.037986767,01:00
user6,267,0.03731639,02:00
user6,268,0.034589585,03:00
user6,269,0.032613054,04:00
user6,270,0.030786823,05:00
user6,271,0.030696813,06:00
user6,272,0.0313422,07:00
user6,273,0.030806188,08:00
user6,274,0.031003477,09:00
user6,275,0.031770416,10:00
user6,276,0.032244828,11:00
user6,277,0.030854065,12:00
user6,278,0.031106306,13:00
user6,279,0.033115372,14:00
user6,280,0.033779826,15:00
user6,281,0.034531828,16:00
user6,282,0.034313142,17:00
user6,283,0.030706327,18:00
user6,284,0.032832425,19:00
user6,285,0.034887716,20:00
user6,286,0.03682132,21:00
user6,287,0.038112916,22:00
user6,288,0.039137438,23:00
user6,289,0.039523695,00:00
user6,290,0.03987221,01:00
user6,291,0.03949274,02:00
user6,292,0.033871282,03:00
user6,293,0.030700885,04:00
user6,294,0.031719297,05:00
user6,295,0.031035116,06:00
user6,296,0.033078685,07:00
user6,297,0.032933775,08:00
user6,298,0.031588774,09:00
user6,299,0.031837747,10:00
user6,300,0.030910052,11:00
user6,301,0.030777471,12:00
user6,302,0.041012116,13:00
user6,303,0.048388816,14:00
user6,304,0.095023245,15:00
user6,305,0.07964794,16:00
user6,306,0.036496133,17:00
user6,307,0.031106357,18:00
user6,308,0.03160554,19:00
user6,309,0.03348328,20:00
user6,310,0.03475324,21:00
user6,311,0.036252614,22:00
user6,312,0.037278052,23:00
user6,313,0.038100183,00:00
user6,314,0.03733254,01:00
user6,315,0.03689559,02:00
user6,316,0.03355209,03:00
user6,317,0.03616209,04:00
user6,318,0.031061718,05:00
user6,319,0.03085678,06:00
user6,320,0.030758748,07:00
user6,321,0.030697254,08:00
user6,322,0.031025888,09:00
user6,323,0.031288605,10:00
user6,324,0.031057684,11:00
user6,325,0.030696474,12:00
user6,326,0.03130911,13:00
user6,327,0.033349685,14:00
user6,328,0.033980526,15:00
user6,329,0.031583425,16:00
user6,330,0.030720674,17:00
user6,331,0.031307016,18:00
user6,332,0.03208169,19:00
user6,333,0.033452924,20:00
user6,334,0.0349515,21:00
user6,335,0.03594667,22:00
user6,336,0.036699336,23:00
user6,337,0.03711688,00:00
user6,338,0.037610307,01:00
user6,339,0.037531022,02:00
user6,340,0.03589974,03:00
user6,341,0.031128386,04:00
user6,342,0.030702848,05:00
user6,343,0.031053005,06:00
user6,344,0.031305596,07:00
user6,345,0.030860601,08:00
user6,346,0.03075417,09:00
user6,347,0.030821534,10:00
user6,348,0.030738147,11:00
user6,349,0.037893392,12:00
user6,350,0.04274919,13:00
user6,351,0.053292118,14:00
user6,352,0.060303297,15:00
user6,353,0.04560754,16:00
user6,354,0.042828284,17:00
user6,355,0.03786774,18:00
user6,356,0.030726109,19:00
user6,357,0.03163416,20:00
user6,358,0.033331413,21:00
user6,359,0.034750815,22:00
user6,360,0.035935394,23:00
user6,361,0.036388144,00:00
user6,362,0.037285075,01:00
user6,363,0.037066337,02:00
user6,364,0.034517206,03:00
user6,365,0.031440116,04:00
user6,366,0.030769486,05:00
user6,367,0.03096088,06:00
user6,368,0.033922512,07:00
user6,369,0.034067478,08:00
user6,370,0.034256194,09:00
user6,371,0.032966573,10:00
user6,372,0.031998906,11:00
user6,373,0.030753251,12:00
user6,374,0.030792179,13:00
user6,375,0.032696325,14:00
user6,376,0.037107904,15:00
user6,377,0.036854573,16:00
