architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.4949333667755127,2.413567225138346,0.03252128014961878,0.000640520703784424,0.1803307682275772,0.0017721682662748687,66711.95703125,2830.5169018603156,0.12307448933521907,0.0022332841692670235
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.425863265991211,3.313439051310221,0.036927507569392524,0.0007775415129369302,0.19215820729732513,0.0020240165783431837,100034.90625,10646.701932688737,0.12500535945097604,0.002440580981195719
