architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.7273619969685874,2.6416309674580893,0.03543009733160337,0.0003582953981392655,0.18822723627090454,0.0009528559571930882,107015.78645833333,5381.408227398108,0.1282033622264862,0.004155855134489903
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.6454666455586753,2.5661258697509766,0.04996778815984726,0.0023569236791761974,0.22349350651105246,0.005259590252647244,11288.09619140625,6302.560792220072,0.15758413076400757,0.005626613253495656
