architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.7417968114217124,2.6649497350056968,0.036219252894322075,0.001516315832037694,0.19028590122858682,0.00397421481797842,87447.1796875,18406.61529688609,0.12400191028912862,0.0031980318112773925
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.9109622637430825,2.8175028959910073,0.037352804094552994,0.0016539457299320705,0.19323753317197165,0.004253214771908535,81039.0,3897.5599299004407,0.12671339015165964,0.0025261317068315465
