architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.49454394976298,3.378326972325643,0.01935474822918574,0.0005244821338113849,0.13911288976669312,0.0018779190049311371,52196.837239583336,893.835068001511,0.07448046654462814,0.0013833049165608837
BiLSTM_L1_U8,22.075568278630573,21.956767082214355,0.03609822317957878,0.00024234674364490238,0.18999460836251578,0.0006382390133251778,91737.33072916667,6300.6745014318885,0.08076606194178264,0.0006871200683781971
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.164923350016276,3.0836389859517417,0.012983318728705248,0.0005465769273269447,0.11392737676699956,0.0024098022554820972,102513.359375,3496.7092349632035,0.06355427702267964,0.001910234038372919
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.8426836331685386,2.767249266306559,0.020200721298654873,0.0005364373257957881,0.14212092757225037,0.0018829795612803622,139963.41666666666,14757.050882960606,0.10562710215648015,0.001084897383142665
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.846085707346598,2.7695152759552,0.019535426671306293,0.00010479598079117053,0.13976885378360748,0.0003747634601514536,350412.9895833333,24205.207594073643,0.0948971559604009,0.0002770209959564776
BiLSTM_L1_U8,,,,,,,,,,
