architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.2698442935943604,3.1857286294301352,0.014381833684941133,0.00026429639685696696,0.11992092182238896,0.0011000670413949996,81321.3203125,4809.323837980184,0.08178907384475072,0.000848853050419308
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.1181506315867105,3.037417729695638,0.014549585990607738,0.001213170928097069,0.12055227160453796,0.005010454450342546,2463585.4166666665,143008.84383848726,0.0747402881582578,0.004447568592688862
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.9033236503601074,2.8268049558003745,0.012286316603422165,0.0005130403270846523,0.11082748572031657,0.0023189934143619433,122867.34895833333,3620.9988402503755,0.07187281300624211,0.0010851104267046415
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.994364341100057,2.9097204208374023,0.010618146508932114,0.0001293520941774617,0.10304311166206996,0.0006285567085834829,113286.8671875,6422.64426074252,0.048419206092755,0.0006735114394874115
BiLSTM_L1_U8,3.4812914530436196,3.358907381693522,0.014537893235683441,0.0006951199744822798,0.12055051326751709,0.002863595210987656,130130.92447916667,11906.704805070285,0.0799277275800705,0.00305669008871924
BiLSTM_L1_U8,3.0922080675760903,3.0140129725138345,0.018512062728405,0.0003584981614092244,0.13605480889479318,0.0013145046378696327,244934.890625,29030.151822066928,0.08560334642728169,0.001243261873549342
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.1234970092773438,3.039428393046061,0.018360746403535206,5.8205403472915305e-05,0.13550171752770743,0.00021468780043081202,135494.34635416666,6240.503478569335,0.10236772398153941,0.0010813733297702136
BiLSTM_L1_U8,2.8724421660105386,2.7916723092397056,0.023669801652431488,0.0007740513902804982,0.15383632481098175,0.0025058418843022074,84601.30208333333,5799.783678413358,0.09622370451688766,0.0008532963638739736
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.8665589491526284,2.786694049835205,0.02110403465727965,0.0002953133108883374,0.14526990056037903,0.0010179305152001716,59431.25,16141.385042461645,0.08743750800689061,0.0047563945828921735
BiLSTM_L1_U8,3.121741612752279,3.031987110773722,0.026663985724250477,0.0010957453684401872,0.16326813399791718,0.0033548742780846945,138395.30729166666,15086.85592123873,0.10328185309966405,0.0024447753785398997
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,21.56429608662923,21.46422799428304,0.01103746797889471,0.0003144993904191802,0.10505225757757823,0.0014955714207180166,58943.66796875,4143.924142292347,0.04709484179814657,0.004289746169519407
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
