architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.5495003859202066,2.461600383122762,0.035029537975788116,0.00028525392626841696,0.18716075519720712,0.0007628961460267325,90018.2265625,4943.468927772881,0.12279339134693146,0.00258322420055081
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.540489355723063,2.461025873819987,0.0408319483200709,0.0005336096613315533,0.20206628739833832,0.0013212685294923423,19073.358723958332,7369.6247530818855,0.12995689610640207,0.0003391177252788255
