architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.3842105070749917,2.309208393096924,0.03493668884038925,0.0011975478634852171,0.1868953506151835,0.0031972950915617666,96804.8984375,11720.072773441225,0.12430757284164429,0.0030559773348886503
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.846678892771403,2.772930860519409,0.03228872393568357,0.00028998210637931697,0.179689422249794,0.0008079470412962251,111097.73697916667,14196.6076839015,0.12687623500823975,0.0009183796496526296
