architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.812729517618815,2.711589733759562,0.014673910414179167,0.00017879616296757086,0.12113442271947861,0.0007370545846847858,73759.35807291667,12992.109438419004,0.07973815500736237,0.0040956800298822486
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.5379677613576255,2.4634652932484946,0.01529908242324988,0.0008709277794183893,0.12365655104319255,0.0034943078973066173,2110674.0833333335,80452.79940217017,0.07343963285287221,0.0005982551767668263
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.475668032964071,2.4022769927978516,0.012162586363653341,0.0006472009267148535,0.1102582390109698,0.002925789965925819,118140.92708333333,3113.8693529218986,0.07317333420117696,0.002433308174182923
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.479660669962565,2.4051040013631186,0.011057831346988678,8.653097646015671e-05,0.10515568653742473,0.0004116996560218797,82969.234375,6349.900540987404,0.04587602739532789,0.0002954268726809714
BiLSTM_L1_U8,6.118623415629069,6.043040672938029,0.01467762142419815,0.00035114285614532356,0.12114548434813817,0.001445685897928053,122407.8671875,8028.093059770207,0.07882450520992279,0.0020281107504760156
BiLSTM_L1_U8,2.4169533252716064,2.341905355453491,0.01819399433831374,0.0007054184753094891,0.13486838837464651,0.0026014660238004904,263526.6979166667,30715.82454591577,0.08861049264669418,0.005385978938120194
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.481768528620402,2.408165693283081,0.018490987519423168,9.243669807262716e-05,0.13598128656546274,0.0003401094462634917,140725.88020833334,11047.88755289576,0.10181001077095668,0.0015803540546209492
BiLSTM_L1_U8,2.494598309199015,2.4208319187164307,0.024088634178042412,0.0002389144865459619,0.15520386397838593,0.0007707799256859529,72874.02604166667,89.63152799858248,0.0936301052570343,0.0034076341618854812
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.5170422395070395,2.4422334829966226,0.021123236045241356,0.00043928237452757105,0.14533308148384094,0.0015158488623901094,54612.264322916664,5325.283286776085,0.08530998975038528,0.0009934138831291493
BiLSTM_L1_U8,2.4719854990641275,2.396239995956421,0.026017386466264725,0.0010278544471822508,0.16127807398637137,0.003186381314437316,132735.05989583334,15362.304684006367,0.10110760231812795,0.00278947145555947
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.8810704549153647,2.805406332015991,0.010946093437572321,6.0215752389173735e-05,0.10462331771850586,0.0002879892920303795,48246.170572916664,1980.8252635007734,0.044191885739564896,0.0010761917746414276
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
