architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.8989933331807456,2.825045903523763,0.03455898786584536,0.0005919704418646574,0.18589593470096588,0.001591708527919607,108865.21354166667,4645.994695753753,0.12665919214487076,0.002936445940633517
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.4330128828684487,2.358002185821533,0.03370171537001928,0.0008440082557530836,0.18357069790363312,0.0022958448922890742,72383.51302083333,4717.803563440952,0.11897984147071838,0.0008408537599828297
