architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.9371132850646973,2.8554652531941733,0.019302440186341602,3.100448135386005e-05,0.13893318672974905,0.00011160394993476871,51361.502604166664,2290.4475815737346,0.07617595295111339,0.0015313170374546521
BiLSTM_L1_U8,3.928150733311971,3.836012363433838,0.03826901440819105,0.00017779370302676724,0.1956243266661962,0.00045468506041855083,51470.23046875,2949.291865114488,0.09144769608974457,0.0013533533197822888
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.142479419708252,3.0626728534698486,0.013032958221932253,0.0006301426401581776,0.11413944015900294,0.002778307015986391,96945.9609375,7978.867642494473,0.06222400814294815,0.0011641872067258236
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.9669503370920816,2.8896257082621255,0.02061694177488486,0.0005677131822059733,0.14357690513134003,0.0019803839681033415,119376.65885416667,6184.985129712833,0.10489946852127711,0.0020075653147157936
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.9618927637736,2.8809944788614907,0.020387601107358932,0.0016165071978071158,0.14270873864491782,0.0057206668132963835,391297.6354166667,27872.268073251602,0.0978406270345052,0.0017614067246599313
BiLSTM_L1_U8,,,,,,,,,,
