architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.4107685883839927,2.3357837200164795,0.03425074741244316,0.0005652819223356514,0.1850653737783432,0.0015265031978027646,107990.34375,18398.11284756525,0.12346344937880833,0.002950798179326484
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.2585407892862954,2.1826794147491455,0.02992044948041439,0.001051027408411263,0.17295760413010916,0.0030290528847701894,85371.0234375,10960.175253846617,0.117404210070769,0.000383382938220896
