architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,6.1905505657196045,6.1108583609263105,0.036167080203692116,0.0004264972363467055,0.19017423689365387,0.0011221686064308977,89805.63802083333,8381.969419125793,0.12795729438463846,0.003957798525226038
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.464268922805786,2.388681729634603,0.03159866854548454,0.0021346094049171606,0.17769297460714975,0.005984289978996848,53500.147135416664,161.28961661765535,0.1174786811073621,0.001953853545652934
