architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,3.928216298421224,3.8207693099975586,0.032433267682790756,0.0002283917220948319,0.1800916443268458,0.0006337444726192649,124738.79947916667,3825.9595192341226,0.11987927556037903,0.0014047040694149112
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.970380942026774,3.8493776321411133,0.042729686945676804,0.0022165343341928635,0.20666577915350595,0.005330530954990282,9170.04833984375,6691.527527157269,0.14222055673599243,0.00561219270102978
