architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.8045526345570884,2.71849791208903,0.03290340676903725,0.000350655852105904,0.18139124910036722,0.000966366063857403,90791.59895833333,2391.668366785099,0.12038011352221172,0.0029125727001070092
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.8251070181528726,2.7410433292388916,0.02790207974612713,0.0007381142566344462,0.16702943543593088,0.002207536598012688,75604.09114583333,4122.017112421246,0.11617890497048695,0.0005119789147860614
