architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.839336713155111,2.7562383810679116,0.014208161272108555,0.0004885467137820197,0.11918620268503825,0.0020529666552782065,58713.041666666664,10387.614440828384,0.07601053267717361,0.0022824289082884965
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.245795567830404,3.163980563481649,0.015125876292586327,0.001630355280039319,0.12286589046319325,0.0066912800978837055,2292825.25,309834.7011847608,0.07439701755841573,0.005518321105481956
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.8235456943511963,3.4588749408721924,0.012582659100492796,0.000251659292488947,0.11216869205236435,0.0011249272038598608,124273.47916666667,3934.6882014041316,0.07357305039962132,0.0020842400335131313
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.913442373275757,2.8357149759928384,0.010716726693014303,8.547178443567041e-05,0.10352107634147008,0.0004132573271233976,103457.6640625,3793.45917183015,0.04726696014404297,0.00039757169961005966
BiLSTM_L1_U8,2.8617300192515054,2.7815866470336914,0.014836900867521763,0.0002582138051143309,0.12180375804503758,0.0010573745928259203,124244.53385416667,15990.736547362938,0.07870688289403915,0.004026836089456747
BiLSTM_L1_U8,3.073819319407145,2.9912102222442627,0.01827684169014295,0.0002041127685146851,0.13519046207269034,0.0007555393692200843,264646.0364583333,28530.772385362347,0.0878857101003329,0.003317342876936822
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.738091071446737,2.656137148539225,0.018737738331158955,8.086213945721192e-05,0.13688564797242483,0.0002952923528981156,145076.765625,19206.835033450912,0.10387607663869858,0.0028352737205419904
BiLSTM_L1_U8,2.809288263320923,2.7297653357187905,0.023433702066540718,0.00109845828010049,0.1530529906352361,0.0035675009220159063,67936.89192708333,3552.527993658392,0.093968632320563,0.0006482256306214226
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.052691618601481,2.9764627615610757,0.02114647316435973,0.0005871831105891361,0.14540892839431763,0.002018758837808062,77103.54427083333,723.1230000416875,0.09130169451236725,0.00459469151269046
BiLSTM_L1_U8,16.127772092819214,16.045764366785686,0.02632412624855836,0.0012183608604572167,0.16221841176350912,0.00373748463287946,142609.78125,2383.5485179357092,0.10179825623830159,0.0028592742703574163
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.9230674107869468,2.847456614176432,0.011055933311581612,0.00017218129931862008,0.10514507939418156,0.0008175629090786572,62616.682291666664,11504.383921010194,0.04765365645289421,0.00415869216047245
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
