architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.661436080932617,2.589110851287842,0.03428989772995313,0.00010071525163410133,0.18517518043518066,0.00027206405606826904,112518.453125,11534.559862506272,0.12244353195031484,0.0034462333168728187
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.6370988686879477,2.56406299273173,0.033000281701485314,0.001722033993092835,0.18161874016125998,0.0047296975058895374,54386.12890625,6692.530550782472,0.11885126183430354,0.0021621059055290924
