architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,2.877755324045817,2.7874359289805093,0.03739390273888906,0.000458094964243454,0.1933726022640864,0.0011859065956620945,124452.8359375,9418.556940975768,0.12497080365816753,0.0006570459059963691
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.821751594543457,2.733830293019613,0.024900824452439945,0.0008277626228144292,0.15778547525405884,0.0026178498648143558,119751.9453125,17097.796512877445,0.10923659056425095,0.0027231285179133103
